aapl	320193
msft	789019
amzn	1018724
goog	1652044
tcehy	1293451
tsla	1318605
fb	1326801
baba	1577552
tsm	1046179
brk-a	1067983
v	1403161
jnj	200406
jpm	19617
wmt	104169
nvda	1045810
spy	884394
dis	1744489
ma	1141391
pypl	1633917
lvmuy	824046
unh	731766
pg	80424
hd	354950
bac	70858
idcby	1445468
nflx	1065280
intc	50863
pdd	1737806
cmcsa	1166691
asml	937966
adbe	796343
nke	320187
vz	732712
abt	1800
crm	1108524
ul	217410
ko	21344
cihky	1495688
tm	1094517
xom	34088
nvs	1114448
cichy	1445474
t	732717
csco	858877
orcl	1341439
tmo	97745
avgo	1730168
lly	59478
pfe	78003
mrk	310158
orcl	1341439
pep	77476
abbv	1551152
shop	1594805
bhp	811809
cvx	93410
acn	1467373
dhr	313616
acgby	1501437
sftby	1065521
nvo	353278
qcom	804328
txn	97476
nee	753308
mdt	1613103
mcd	63908
sap	1000184
cost	909832
jd	1549802
tmus	1283699
rtntf	887028
bbl	1171264
hon	773840
sne	313838
rds-a	1306965
se	1703399
ups	1090727
unp	100885
amgn	318154
wfc	72971
bachy	1378999
bmy	14272
ms	895421
pm	1413329
lin	1707925
c	831001
azn	901832
qqq	1067839
abnb	1559720
low	60667
zm	1585521
bud	1668717
sbux	829224
lfc	1268896
ba	12927
sq	1512673
hdb	1144967
chtr	1091667
ry	1000275
sny	1121404
hesay	1436949
now	1373715
uber	1543151
amd	2488
intu	896878
hsbc	1089113
ptr	1108329
byddy	1445162
tot	879764
blk	1364742
rtx	101829
chl	1117795
cat	18230
ibm	51143
td	947263
bidu	1329099
el	1001250
schw	316709
gs	886982
amat	6951
axp	4962
mmm	66740
rio	863064
amt	1053507
ge	40545
chdry	1450488
de	315189
deo	835403
meli	1099590
mu	723125
cvs	64803
tgt	27419
lmt	936468
isrg	1035267
nio	1736541
snap	1564408
frcoy	1446595
syk	310764
ntes	1110646
vale	917851
bkng	1075531
hkxcy	1445476
gsk	1131399
eadsy	1378580
bti	1303523
snow	1640147
dmlry	1067318
sbgsy	923734
gild	882095
fis	1136893
beke	1809587
ppruy	1445465
tjx	109198
lrcx	707549
spgi	64040
njdcy	1158967
chgcy	1453934
mo	764180
atvi	718877
pld	1045609
pstvy	1689565
mdlz	1103982
zts	1555280
aiquy	1161167
gm	1467858
infy	1067491
cni	16868
cta-pa	30554
cb	896159
snp	1123658
bdx	10795
kddiy	1106215
ci	1739940
antm	1156039
mrna	1682852
bp	313807
fisv	798354
adp	8670
shecy	1442651
usb	36104
tfc	92230
enb	895728
dnngy	1679771
esloy	1085922
cci	1051470
twlo	1447669
pbr	1119639
dash	1792789
csx	277948
pnc	713676
bns	9631
fdx	1048911
cl	21665
duk	1326160
wday	1327811
adsk	769397
atlcy	748954
ilmn	1110803
cme	1156375
shw	89800
dkily	1446519
so	92122
bam	1001085
eqix	1101239
toely	1443276
itw	49826
team	1650372
spot	1639920
mufg	67088
cop	1163165
nsc	702165
ice	1571949
pltr	1321655
wbk	719245
lnsty	1439584
ecl	31462
rbgly	1420798
vmw	1124610
ibn	1103838
d	715957
gpn	1123360
hca	860730
dell	1571996
vcisy	1065198
abb	1091587
roku	1428439
eqnr	1140625
mraay	1450468
san	891478
adi	6281
mmc	62709
apd	2969
safry	1364012
cfruy	948401
tak	1395064
